Current Weight,Name,G0,G1,G2,G3,G4,G5,G6,G7,G8,G11,PeerGroup,OptimiserCategory,Type
0.9764232627954305,Bank Account,Defensive,Cash,Cash,Cash,ASXStock,Cash,Cash,Bank Account,Cash,Cash,Domestic Cash,Cash,Cash
3.5728403045628174,iShares S&P Mid-Cap ETF,Growth,International Shares,Global Shares,Global Shares,ETF Index,,,World Mid Small Equity,,International Shares,World Large Blend Equity,International Equities - Unhedged,ETF
2.037068322525213,VanEck MSCI International Small Companies Quality ETF,Growth,International Shares,Global Shares,,Passive,,,World Mid Small Equity,,International Shares,World Large Blend Equity,International Equities - Unhedged,MF
4.933308784889076,Yarra Enhanced Income Fund,Defensive,Floating Rate,Australian Fixed Interest,,Active Manager,,,Australian IG Credit,,Floating Rate,Diversified Credit,Floating High Yield Credit,MF
12.810986335235208,CFS Index Australian Share - Class A,Growth,Australian Shares,Australian Shares,Australian Shares,Passive,,,Australian Shares,,Australian Shares,Australian Equity,Australian Equities,MF
17.6889799578544,Colonial First State Index Global Share Hedged-Class A,Growth,International Shares,Global Shares,Global Shares,ETF Index,Developed ,Local,Developed ,,International Shares,World Currency Hedged Equity,International Equities - Hedged,ETF
2.6158724781130047,CFS Index Property Securities - Class A,Growth,Real Assets,Listed Property,,Passive,,,Australia Real Estate Equity,,Real Assets,Australia Real Estate Equity,AREITs,MF
2.9937300065906203,CFS Index Global Listed Infra-Class A ,Growth,Real Assets,Global Listed Property,,Passive,,,Global Real Estate,,Real Assets,Global Real Estate,GREITs,MF
1.4930576413796384,CFS Index Global Property Securities-Class A,Growth,Real Assets,Global Listed Infrastructure,,Passive,,,Global Infrastructure,,Real Assets,Global Infrastructure,Global Unlisted Infrastructure,MF
4.040291571883002,Vaneck Gold Bullion ETF,Growth,Alternatives,Alternatives,Alternatives,Passive,,,Commodities,,Alternatives,Commodities,Commodity,ETF
13.627356264726172,Colonial First State Index Australian Bond-Class A,Defensive,Long Duration,Australian Fixed Interest,Australian Fixed Interest,Passive,,,Australian Bonds,,Long Duration,Australian Bonds,Australian Fixed Interest,MF
18.49904095823294,Colonial First State Index Global Bond- Class A,Defensive,Long Duration,Global Fixed Interest,Global Fixed Interest,Passive,,,Global Bonds,,Long Duration,Global Bonds ,International Fixed Interest,MF
0.977524785053817,First Sentier Wholesale Strategic Cash,Defensive,Cash,Cash,,Passive,,,Cash,,Cash,Cash,Cash,MF
2.0178254381590097,JPMorgan EM Markets Enhanced Index ETF ,Growth,International Shares,Global Shares,Global Shares,Active Manager,,,Emerging Markets Equity,,International Shares,Emerging Markets Equity,International Equities - Emerging,MF
0.46064896670621375,Aristocrat Leisure Limited,Growth,Australian Shares,Australian Shares,Australian Shares,Consumer Discretionary - 25,ASX,AUD,Australia,,"Hotels, Restaurants & Leisure - 253010",Australia Large Blend Equity,Australian Equities,ASXStock
0.9334516498270844,ANZ Group Holdings Limited,Growth,Australian Shares,Australian Shares,Australian Shares,Financials - 40,ASX,AUD,Australia,,Banks - 401010,Australia Large Blend Equity,Australian Equities,ASXStock
1.5545287419907967,BHP Group Limited,Growth,Australian Shares,Australian Shares,Australian Shares,Materials - 15,ASX,AUD,Australia,,Metals & Mining - 151040,Australia Large Blend Equity,Australian Equities,ASXStock
0.255337120863225,Brambles Limited,Growth,Australian Shares,Australian Shares,Australian Shares,Industrials - 20,ASX,AUD,Australia,,Commercial Services & Supplies - 202010,Australia Large Blend Equity,Australian Equities,ASXStock
1.592876692282171,Commonwealth Bank of Australia,Growth,Australian Shares,Australian Shares,Australian Shares,Financials - 40,ASX,AUD,Australia,,Banks - 401010,Australia Large Blend Equity,Australian Equities,ASXStock
0.08598018019963954,Cochlear Limited,Growth,Australian Shares,Australian Shares,Australian Shares,Health Care - 35,ASX,AUD,Australia,,Health Care Equipment & Supplies - 351010,Australia Large Blend Equity,Australian Equities,ASXStock
0.1758597086751637,Computershare Limited,Growth,Australian Shares,Australian Shares,Australian Shares,Industrials - 20,ASX,AUD,Australia,,Professional Services - 202020,Australia Large Blend Equity,Australian Equities,ASXStock
0.6641377159505181,CSL Limited,Growth,Australian Shares,Australian Shares,Australian Shares,Health Care - 35,ASX,AUD,Australia,,Biotechnology - 352010,Australia Large Blend Equity,Australian Equities,ASXStock
0.10770337605226968,Fortescue Ltd,Growth,Australian Shares,Australian Shares,Australian Shares,Materials - 15,ASX,AUD,Australia,,Metals & Mining - 151040,Australia Large Blend Equity,Australian Equities,ASXStock
0.15096473075552705,Goodman Group,Growth,Australian Shares,Australian Shares,Australian Shares,Real Estate - 60,ASX,AUD,Australia,,Industrial REITs - 601025,Australia Large Blend Equity,Australian Equities,ASXStock
0.036981863012858884,Insurance Australia Group Limited,Growth,Australian Shares,Australian Shares,Australian Shares,Financials - 40,ASX,AUD,Australia,,Insurance - 403010,Australia Large Blend Equity,Australian Equities,ASXStock
0.38541986217321994,Macquarie Group Limited,Growth,Australian Shares,Australian Shares,Australian Shares,Financials - 40,ASX,AUD,Australia,,Capital Markets - 402030,Australia Large Blend Equity,Australian Equities,ASXStock
