Current Weight,Name,G0,G1,G2,G3,G4,G5,G6,G7,G8,PeerGroup,OptimiserCategory,Type
1.923967336122202,Bank Account,Defensive,Cash,Cash,Cash,ASXStock,Cash,Cash,Bank Account,Cash,Domestic Cash,Cash,Cash
4.946341850849876,DNR Capital Australian Equities High Conviction Fund,Growth,Australian Shares,Australian Shares,Australian Shares,Active Manager,,,Concentrated Active,,Australia Large Blend Equity,Australian Equities,MF
3.9005515097991053,Fairlight Global Small & Mid Cap Fund (SMID) Class A,Growth,International Shares,Global Shares,Global Shares,Active Manager,,,Global SMID,,World Mid Small Equity,International Equities - Small Cap,MF
3.2107966649908315,GQG Partners Emerging Markets Equity Fund - A Class,Growth,International Shares,Global Shares,Global Shares,Active Manager,,,Emerging Markets,,Emerging Markets Equity,International Equities - Emerging,MF
2.7186290923515966,BlackRock iShares Global Listed Property Index,Growth,Real Assets,Alternatives,Alternatives (Growth),Passive,,,GREITs,,Global Real Estate,GREITs,MF
3.9002337318788523,Bentham Global Income Fund,Defensive,Floating Rate,Global Fixed Interest,Global Fixed Interest,Active Manager,,,Global Diversified Credit,,Global Bonds ,International Fixed Interest,MF
1.9479405813445847,Macquarie Income Opportunities Fund,Defensive,Floating Rate,Australian Fixed Interest,,Active Manager,,,Diversified Credit,,Diversified Credit,Floating High Yield Credit,MF
4.072932093767857,Macquarie Australian Small Companies Fund,Growth,Australian Shares,Australian Shares,,Active Manager,,,Australia Mid Small Growth Equity,,Australia Mid Small Growth Equity,Australian Equities - Small Cap,MF
3.1628624382834354,Barrow Hanley Global Share Fund,Growth,International Shares,Global Shares,,Active Manager,,,World Large Quality Equity,,World Large Blend Equity,International Equities - Unhedged,MF
2.7849512795720797,Lazard Global Listed Infrastructure Fund,Growth,Real Assets,Global Listed Infrastructure,,Active Manager,,,Global Infrastructure - hedged,,Global Infrastructure - Currency Hedged,Global Listed Infrastructure - hedged,MF
11.252821391735646,iShares Indexed Hedged International Equity,Growth,International Shares,Global Shares,,Passive,,,World Other Equity - Hedged,,World Large Growth Equity,International Equities - Hedged,MF
7.662174318669855,iShares Australian Bond Index Fund,Defensive,Long Duration,Australian Fixed Interest,Australian Fixed Interest,ETF Index,,,Australian Bonds,,Australian Bonds,Australian Fixed Interest,MF
4.850377573552047,Realm Short Term Income Fund,Defensive,Floating Rate,Australian Fixed Interest,Australian Fixed Interest,Active Manager,,,Diversified Credit,,Diversified Credit,Floating High Yield Credit,MF
8.599694063039477,iShares Global Bond Index Fund,Defensive,Long Duration,Global Fixed Interest,Global Fixed Interest,ETF Index,,,Long Duration,,Global Bonds ,International Fixed Interest,MF
