Current Weight,Name,G0,G1,G2,G3,G4,G5,G6,G7,G8,G11,PeerGroup,OptimiserCategory,Type
1.9575199722354073,Bank Account,Defensive,Cash,Cash,Cash,ASXStock,Cash,Cash,Bank Account,Cash,Cash,Domestic Cash,Cash,Cash
3.877463844805932,Merlon Concentrated Australian Share Fund,Growth,Australian Shares,Australian Shares,Australian Shares,Active Manager,,,Concentrated Active,,Australian Shares,Australia Large Blend Equity,Australian Equities,MF
2.842218118159047,Ausbil Australian SmallCap Fund,Growth,Australian Shares,Australian Shares,Australian Shares,Active Manager,,,Small Cap Fundamental,,Australian Shares,Australia Mid Small Blend Equity,Australian Equities - Small Cap,MF
3.7975381534212134,Greencape High Conviction Fund,Growth,Australian Shares,Australian Shares,Australian Shares,Active Manager,,,Concentrated Active,,Australian Shares,Australia Large Growth Equity,Australian Equities,MF
3.840816947687272,GQG Partners Global Equity Fund - A Class,Growth,International Shares,Global Shares,Global Shares,Active Manager,,,Quality Bias - Fundamental,,International Shares,World Large Growth Equity,International Equities - Unhedged,MF
1.9175954917847324,GQG Partners Emerging Markets Equity Fund - A Class,Growth,International Shares,Global Shares,Global Shares,Active Manager,,,Emerging Markets,,International Shares,Emerging Markets Equity,International Equities - Emerging,MF
2.926685768167259,ClearBridge RARE Infrastructure Income Fund - Hedged,Growth,Real Assets,Alternatives,Alternatives (Growth),Active Manager,,,Global Listed Infrastructure - Hedged,,Real Assets,Global Infrastructure - Currency Hedged,Global Listed Infrastructure - hedged,MF
3.4606700283126526,Invesco Wholesale Senior Secured Income Fund,Growth,Alternatives,Alternatives,Alternatives (Defensive),Active Manager,,,Global Private Credit - Asset Backed,,Alternatives,Alternatives - Defensive illiquid,Alternatives - Defensive Illiquid,MF
4.407153757350432,Colchester Global Government Bond Fund Class I,Defensive,Long Duration,Global Fixed Interest,Global Fixed Interest,Active Manager,,,Global DM & EM Bonds ,,Long Duration,Global Bonds ,International Fixed Interest,MF
4.414437611676771,PIMCO Global Bond Fund — Wholesale Class,Defensive,Long Duration,Global Fixed Interest,Global Fixed Interest,Active Manager,,,Global Bonds ,,Long Duration,Global Bonds ,International Fixed Interest,MF
6.920326117027958,Janus Henderson Diversified Credit Fund,Defensive,Floating Rate,Australian Fixed Interest,Australian Fixed Interest,Active Manager,,,Diversified Credit,,Floating Rate,Diversified Credit,Floating High Yield Credit,MF
4.926041956339612,Daintree Core Income Trust,Defensive,Floating Rate,Australian Fixed Interest,Australian Fixed Interest,Active Manager,,,Floating Rate Credit,,Floating Rate,Global Bonds ,International Fixed Interest,MF
6.782522389261203,Bentham Global Income Fund,Defensive,Floating Rate,Global Fixed Interest,Global Fixed Interest,Active Manager,,,Global Diversified Credit,,Floating Rate,Global Bonds ,International Fixed Interest,MF
2.6193153809859924,Yarra Ex-20 Australian Equities Fund,Growth,Australian Shares,Australian Shares,Australian Shares,Active Manager,,,Australian SMID,,Australian Shares,Australia Mid Small Blend Equity,Australian Equities - Small Cap,MF
4.9059510739984376,PM Capital Enhanced Yield,Defensive,Floating Rate,Australian Fixed Interest,,Active Manager,,,Diversified Credit,,Floating Rate,Diversified Credit,Floating High Yield Credit,MF
2.6230574925165984,Vanguard Australian Property Securities Index Fund,Growth,Real Assets,Listed Property,,Passive,,,Australia Real Estate Equity,,Real Assets,Australia Real Estate Equity,AREITs,MF
5.983934559664626,Vanguard International Property Securities Index Fund,Growth,Real Assets,Global Listed Property,,Passive,,,Global Real Estate,,Real Assets,Global Real Estate,GREITs,MF
12.845865504769142,Vanguard Australian Shares Index,Growth,Australian Shares,Australian Shares,,Passive,,,Australia Large Blend Equity,,Australian Shares,Australia Large Blend Equity,Australian Equities,MF
3.8748911220863347,Ironbark Brown Advisory Global Share Fund,Growth,International Shares,Global Shares,,Active Manager,,,World Large Blend Equity,,International Shares,World Large Blend Equity,International Equities - Unhedged,MF
1.900237084581291,Fairlight Global Mid-Small cap fund ,Growth,International Shares,Global Shares,,Active Manager,,,World Mid Small Equity,,International Shares,World Large Blend Equity,International Equities - Unhedged,MF
13.175757625168078,Vanguard International Shares,Growth,International Shares,Global Shares,,Passive,,,World Currency Hedged Equity,,International Shares,World Large Blend Equity,International Equities - Unhedged,MF
